order_id,customer_id,restaurant_name,cuisine_type,order_datetime,delivery_time_mins,delivery_partner_id,distance_km,order_value_inr,discount_applied_inr,rating,peak_hour,order_status,city
SW2595042,USR162897,Burger King,BIRYANI,2023-01-09 20:59:35,52,DE83197,1.6,220,0.0,,Yes,Delivered,Jaipur
SW3985199,USR934237,KFC,Continental,2023-01-10 00:16:12,41,DE19574,10.6,1456,50.0,3.4,No,Delivered,Jaipur
SW1968822,USR905385,Saravana Bhavan,Burgers,2023-01-10 03:32:48,39,DE82126,,516,100.0,,No,Delivered,Hyderabad
SW2420162,USR292563,Chaayos,Rolls,2023-01-10 06:49:25,32,DE68559,3.5,351,30.0,3.7,No,Delivered,Mumbai
SW2439774,USR925383,Domino's Pizza,Rolls,2023-01-10 10:06:01,31,DE70127,9.3,1611,0.0,3.3,No,Delivered,Kolkata
SW3743447,USR292841,Hyderabad House,CHINESE,2023-01-10 13:22:38,46,DE46886,0.8,2102,0.0,3.0,Yes,Delivered,Pune
SW9173044,USR950810,Burger King,Rolls,2023-01-10 16:39:14,40,DE18037,8.8,1199,0.0,3.2,No,Delivered,Kolkata
SW7934691,USR790236,Faasos,Desserts,2023-01-10 19:55:51,47,DE18907,8.0,478,0.0,2.0,Yes,Delivered,Delhi
SW9116963,USR726486,Paradise Biryani,Mughlai,2023-01-10 23:12:28,27,DE26827,5.6,141,100.0,4.8,No,Delivered,Mumbai
SW4820685,USR307603,Behrouz Biryani,biryani,2023-01-11 02:29:04,32,DE79786,,517,100.0,4.8,No,Delivered,Mumbai
SW9344934,USR322085,Barbeque Nation,chinese,2023-01-11 05:45:41,43,DE78094,,359,20.0,4.9,No,Delivered,Bengaluru
SW1708826,USR624912,KFC,Desserts,2023-01-11 09:02:17,20,DE14541,2.8,196,0.0,,No,Delivered,Pune
SW2979173,USR506702,Smoke House Deli,Burgers,2023-01-11 12:18:54,48,DE21819,0.6,191,30.0,2.1,Yes,Delivered,Pune
SW4607234,USR163853,McDonald's,biryani,2023-01-11 15:35:30,33,DE98830,4.7,485,20.0,,No,Delivered,Delhi
SW2371167,USR856642,Hyderabad House,Burgers,2023-01-11 18:52:07,39,DE38632,10.9,334,75.0,3.0,No,delivered,Hyderabad
SW5710043,USR633717,Mainland China,Fast Food,2023-01-11 22:08:43,-5,DE99033,6.0,80,20.0,4.7,Yes,Delivered,Pune
SW6709660,USR762292,Pizza Hut,Rolls,2023-01-12 01:25:20,30,DE23197,7.4,364,0.0,4.4,No,Delivered,Bangalore
SW6537141,USR894993,Paradise Biryani,Desserts,2023-01-12 04:41:57,22,DE47516,11.3,169,0.0,4.4,No,Delivered,Kolkata
SW3268112,USR947976,Vaango,Continental,2023-01-12 07:58:33,34,DE74110,5.7,309,0.0,,No,Delivered,Jaipur
SW5102665,USR969780,Burger King,South Indian,2023-01-12 11:15:10,41,DE41147,7.2,184,0.0,3.6,No,Delivered,Hyderabad
SW1705447,USR322375,Hyderabad House,north indian,2023-01-12 14:31:46,44,DE28933,1.6,126,0.0,4.0,Yes,Delivered,Chennai
SW7575615,USR724253,Subway,Burgers,2023-01-12 17:48:23,35,DE31070,2.0,523,0.0,3.8,No,Delivered,Mumbai
SW4579052,USR492928,Moti Mahal,south indian,2023-01-12 21:04:59,47,DE59667,7.2,165,0.0,2.2,Yes,Delivered,Mumbai
SW4617582,USR924622,Pizza Hut,North Indian,2023-01-13 00:21:36,30,DE16734,1.0,564,100.0,4.1,No,Delivered,Mumbai
SW2966397,USR265950,The Beer Cafe,NORTH INDIAN,2023-01-13 03:38:12,44,DE58831,0.9,153,0.0,3.2,No,Delivered,Bengaluru
SW9873776,USR514954,McDonald's,biryani,2023-01-13 06:54:49,36,DE37978,1.7,462,50.0,3.7,No,Delivered,Delhi
SW2405181,USR659502,Domino's Pizza,Continental,2023-01-13 10:11:25,37,DE60514,3.2,197,30.0,3.9,No,Delivered,Mumbai
SW5230991,USR730454,Udipi Palace,Thai,2023-01-13 13:28:02,55,DE85055,1.6,515,,3.0,Yes,DELIVERED,Bangalore
SW8420612,USR928091,Pizza Hut,Thai,2023-01-13 16:44:39,39,DE62994,3.4,575,20.0,4.1,No,Delivered,Kolkata
SW7572893,USR690225,Social,Chinese,2023-01-13 20:01:15,59,DE27676,9.0,593,20.0,2.2,Yes,Delivered,Kolkata
SW6930491,USR936518,Mainland China,Desserts,2023-01-13 23:17:52,26,DE49336,5.3,188,20.0,3.9,No,Delivered,Jaipur
SW4776572,USR144932,Sagar Ratna,BIRYANI,2023-01-14 02:34:28,41,DE32524,8.1,406,20.0,,No,Delivered,Delhi
SW2835354,USR802963,Social,pizza,2023-01-14 05:51:05,44,DE21654,9.3,506,20.0,3.2,No,cancelled,Bangalore
SW2066092,USR915604,Biryani Blues,biryani,2023-01-14 09:07:41,34,DE15636,4.3,519,,3.4,No,Delivered,Jaipur
SW5012819,USR949981,Biryani Blues,CHINESE,2023-01-14 12:24:18,56,DE36288,10.8,198,30.0,2.5,Yes,Delivered,Bangalore
SW5279349,USR432500,Faasos,north indian,2023-01-14 15:40:54,29,DE62558,10.4,149,0.0,3.0,No,delivered,Bengaluru
SW6406443,USR265942,McDonald's,Burgers,2023-01-14 18:57:31,24,DE34475,5.3,154,20.0,4.8,No,Out for Delivery,Bengaluru
SW2823874,USR865345,Paradise Biryani,Rolls,2023-01-14 22:14:08,47,DE63184,,482,0.0,3.2,Yes,Delivered,Kolkata
SW1085458,USR914063,The Beer Cafe,pizza,2023-01-15 01:30:44,25,DE98338,4.4,533,0.0,,No,Delivered,Hyderabad
SW6011430,USR273979,Paradise Biryani,Mughlai,2023-01-15 04:47:21,22,DE87181,8.8,323,75.0,4.4,No,Delivered,Bengaluru
SW3419408,USR682059,Udipi Palace,Desserts,2023-01-15 08:03:57,30,DE55050,11.7,1790,50.0,3.2,No,Delivered,Bengaluru
SW8983582,USR872994,KFC,Continental,2023-01-15 11:20:34,27,DE10608,4.1,103,0.0,3.9,No,Delivered,Bengaluru
SW5084077,USR748706,Faasos,South Indian,2023-01-15 14:37:10,44,DE81340,7.1,108,0.0,4.8,Yes,Delivered,Bangalore
SW7357624,USR985101,Box8,CHINESE,2023-01-15 17:53:47,42,DE61788,4.6,152,50.0,4.8,No,Delivered,Kolkata
SW9085384,USR277423,McDonald's,north indian,2023-01-15 21:10:23,56,DE64476,6.2,1163,30.0,3.7,Yes,Delivered,Pune
SW4112418,USR814292,Sagar Ratna,Burgers,2023-01-16 00:27:00,31,DE90357,3.0,564,0.0,4.3,No,Delivered,Bengaluru
SW9678992,USR842454,Domino's Pizza,Mughlai,2023-01-16 03:43:36,29,DE18775,5.4,282,0.0,3.5,No,Delivered,Jaipur
SW5122874,USR818240,Punjab Grill,BIRYANI,2023-01-16 07:00:13,20,DE80236,7.9,2453,0.0,4.8,No,Delivered,Mumbai
SW9970767,USR885211,Barbeque Nation,Chinese,2023-01-16 10:16:50,32,DE65380,4.5,416,50.0,4.9,No,Delivered,Bangalore
SW2542887,USR520304,Subway,BIRYANI,2023-01-16 13:33:26,49,DE52238,3.8,1677,100.0,3.2,Yes,delivered,Chennai
SW6650773,USR323723,Domino's Pizza,south indian,2023-01-16 16:50:03,35,DE21623,4.3,236,20.0,3.8,No,Cancelled,Hyderabad
SW8232668,USR678614,Moti Mahal,North Indian,2023-01-16 20:06:39,64,DE14437,4.1,526,0.0,1.2,Yes,DELIVERED,delhi
SW9873930,USR662833,Moti Mahal,North Indian,2023-01-16 23:23:16,25,DE43188,2.3,520,150.0,4.9,No,Delivered,Hyderabad
SW8338889,USR276899,McDonald's,CHINESE,2023-01-17 02:39:52,43,DE84302,10.9,1613,,3.3,No,Delivered,Hyderabad
SW7406852,USR969781,Sagar Ratna,pizza,2023-01-17 05:56:29,22,DE94786,11.5,160,30.0,4.1,No,Delivered,Pune
SW3609022,USR986505,Pind Balluchi,Pizza,2023-01-17 09:13:05,-5,DE23309,3.5,460,100.0,4.6,No,Delivered,delhi
SW1230891,USR535848,Behrouz Biryani,Thai,2023-01-17 12:29:42,54,DE39935,7.6,147,30.0,2.1,Yes,Delivered,Kolkata
SW4193615,USR976038,The Beer Cafe,Chinese,2023-01-17 15:46:18,29,DE90235,4.1,554,100.0,,No,Delivered,Delhi
SW8986828,USR147671,McDonald's,biryani,2023-01-17 19:02:55,68,DE13163,7.2,211,0.0,1.3,Yes,Cancelled,Delhi
SW5933766,USR356187,Burger King,pizza,2023-01-17 22:19:32,67,DE88902,3.9,234,0.0,2.8,Yes,Cancelled,Bengaluru
SW7870424,USR700861,Subway,Chinese,2023-01-18 01:36:08,32,DE81001,1.2,498,30.0,3.4,No,Delivered,Jaipur
SW3167137,USR157874,Social,Rolls,2023-01-18 04:52:45,39,DE94542,2.2,279,20.0,3.9,No,Delivered,Bengaluru
SW3490866,USR130139,Cafe Coffee Day,North Indian,2023-01-18 08:09:21,38,DE93475,,517,0.0,4.4,No,Delivered,Pune
SW4375767,USR859865,Behrouz Biryani,Fast Food,2023-01-18 11:25:58,37,DE39471,3.4,116,50.0,4.9,No,Delivered,Pune
SW9723442,USR610888,Haldiram's,CHINESE,2023-01-18 14:42:34,51,DE32384,6.1,286,0.0,2.8,Yes,Delivered,Delhi
SW7218786,USR852984,Cafe Coffee Day,Fast Food,2023-01-18 17:59:11,35,DE32146,,1278,75.0,3.1,No,Delivered,delhi
SW3922275,USR738070,Haldiram's,biryani,2023-01-18 21:15:47,48,DE60212,1.0,395,30.0,,Yes,delivered,Pune
SW4788267,USR106267,KFC,north indian,2023-01-19 00:32:24,35,DE12000,9.9,300,0.0,4.7,No,Delivered,Delhi
SW6336821,USR200251,Mainland China,biryani,2023-01-19 03:49:01,25,DE42843,6.1,453,20.0,4.5,No,Delivered,Hyderabad
SW3910514,USR320087,Smoke House Deli,north indian,2023-01-19 07:05:37,33,DE77631,2.3,171,,4.0,No,Delivered,Jaipur
SW4390205,USR289209,Wow Momo,Burgers,2023-01-19 10:22:14,34,DE49247,3.2,262,20.0,3.5,No,Delivered,Bengaluru
SW2882912,USR665191,Barbeque Nation,Mughlai,2023-01-19 13:38:50,42,DE88837,11.9,200,50.0,3.8,Yes,Delivered,Jaipur
SW4240086,USR696709,Wow Momo,CHINESE,2023-01-19 16:55:27,27,DE79263,4.5,1464,150.0,3.3,No,Delivered,Kolkata
SW2544612,USR306626,Barbeque Nation,Rolls,2023-01-19 20:12:03,54,DE94908,1.2,535,50.0,3.3,Yes,DELIVERED,delhi
SW1838226,USR602960,Biryani Blues,north indian,2023-01-19 23:28:40,39,DE28826,7.2,106,0.0,3.1,No,Delivered,Mumbai
SW9239841,USR617711,Vaango,Thai,2023-01-20 02:45:16,44,DE36695,2.7,336,0.0,3.3,No,Delivered,Bangalore
SW4511212,USR316240,Faasos,BIRYANI,2023-01-20 06:01:53,24,DE80259,,2452,0.0,4.2,No,Delivered,Jaipur
SW7636363,USR623581,McDonald's,pizza,2023-01-20 09:18:29,23,DE47649,4.6,133,20.0,,No,cancelled,Hyderabad
SW8625261,USR672362,McDonald's,pizza,2023-01-20 12:35:06,50,DE24009,7.6,132,0.0,,Yes,Delivered,Kolkata
SW6494947,USR471954,Pind Balluchi,Thai,2023-01-20 15:51:43,34,DE57166,10.3,567,30.0,3.4,No,Delivered,Jaipur
SW6695480,USR540572,Udipi Palace,Biryani,2023-01-20 19:08:19,34,DE17767,11.8,95,100.0,3.6,Yes,Delivered,Chennai
SW2157911,USR257102,The Beer Cafe,BIRYANI,2023-01-20 22:24:56,63,DE83330,11.5,945,,2.4,Yes,Cancelled,Mumbai
SW4552765,USR427185,McDonald's,south indian,2023-01-21 01:41:32,41,DE41262,,539,0.0,3.6,No,Delivered,Bengaluru
SW9543090,USR949913,Pind Balluchi,Pizza,2023-01-21 04:58:09,30,DE92144,4.4,511,100.0,3.1,No,Delivered,Kolkata
SW9513685,USR562486,Wow Momo,Chinese,2023-01-21 08:14:45,20,DE97713,7.9,185,0.0,3.0,No,Delivered,Hyderabad
SW2638756,USR987810,Cafe Coffee Day,Pizza,2023-01-21 11:31:22,27,DE58991,1.9,1338,0.0,3.0,No,Delivered,Hyderabad
SW6660536,USR823437,Social,Chinese,2023-01-21 14:47:58,36,DE36285,4.9,420,0.0,3.4,Yes,Delivered,Jaipur
SW3714928,USR907732,Saravana Bhavan,North Indian,2023-01-21 18:04:35,40,DE42824,11.4,525,0.0,3.4,No,Delivered,Kolkata
SW4020906,USR738492,Saravana Bhavan,BIRYANI,2023-01-21 21:21:12,41,DE55098,2.7,1549,100.0,3.8,Yes,Delivered,Jaipur
SW2390243,USR329856,Pizza Hut,North Indian,2023-01-22 00:37:48,40,DE61250,6.2,277,20.0,4.1,No,Delivered,Mumbai
SW8496530,USR892534,Sagar Ratna,Pizza,2023-01-22 03:54:25,22,DE71029,1.1,1014,0.0,,No,Delivered,Jaipur
SW1436952,USR518371,Vaango,Fast Food,2023-01-22 07:11:01,20,DE36342,7.9,355,0.0,3.4,No,Cancelled,delhi
SW6982806,USR739016,Paradise Biryani,North Indian,2023-01-22 10:27:38,44,DE51840,7.3,232,75.0,4.5,No,delivered,Pune
SW6492169,USR434266,Sagar Ratna,NORTH INDIAN,2023-01-22 13:44:14,59,DE65839,10.1,564,0.0,3.5,Yes,Delivered,Bengaluru
SW7392922,USR582676,Punjab Grill,Chinese,2023-01-22 17:00:51,25,DE97288,,398,0.0,4.5,No,Delivered,Bengaluru
SW4736518,USR662881,Burger King,CHINESE,2023-01-22 20:17:27,48,DE27316,,495,0.0,,Yes,Cancelled,Bengaluru
SW2880438,USR565151,Hyderabad House,NORTH INDIAN,2023-01-22 23:34:04,35,DE99620,10.4,358,0.0,4.3,No,Delivered,Kolkata
SW7359693,USR751726,Behrouz Biryani,Mughlai,2023-01-23 02:50:40,43,DE62774,11.8,92,0.0,4.8,No,Delivered,Bangalore
SW8595945,USR460364,The Beer Cafe,CHINESE,2023-01-23 06:07:17,36,DE50415,10.7,1358,50.0,4.4,No,Delivered,Kolkata
SW9731371,USR123933,Cafe Coffee Day,Rolls,2023-01-23 09:23:54,27,DE82270,10.4,258,50.0,4.3,No,Delivered,Pune
SW4765896,USR295893,Faasos,Fast Food,2023-01-23 12:40:30,47,DE74134,7.1,599,0.0,2.3,Yes,Delivered,Kolkata
SW5712720,USR482825,Burger King,Biryani,2023-01-23 15:57:07,26,DE64551,8.0,327,50.0,3.8,No,Delivered,Delhi
SW4490974,USR922174,KFC,Mughlai,2023-01-23 19:13:43,67,DE39867,9.6,727,0.0,,Yes,Delivered,Delhi
SW8814414,USR496300,Social,BIRYANI,2023-01-23 22:30:20,44,DE11405,2.5,355,,3.9,Yes,Delivered,Chennai
SW7469024,USR749637,Udipi Palace,chinese,2023-01-24 01:46:56,32,DE98027,11.7,502,30.0,4.6,No,Delivered,Pune
SW3821453,USR788374,KFC,Biryani,2023-01-24 05:03:33,31,DE69169,3.9,2222,50.0,4.8,No,Delivered,delhi
SW4785848,USR690698,Mainland China,Desserts,2023-01-24 08:20:09,34,DE77166,6.4,293,150.0,3.9,No,Delivered,Kolkata
SW8627557,USR494531,Smoke House Deli,North Indian,2023-01-24 11:36:46,38,DE61039,,1262,0.0,4.3,No,Cancelled,delhi
SW9075973,USR122818,Faasos,Biryani,2023-01-24 14:53:23,38,DE44103,10.1,229,0.0,4.5,Yes,Delivered,Chennai
SW8706777,USR125297,Faasos,Rolls,2023-01-24 18:09:59,29,DE24713,5.9,272,30.0,4.0,No,Delivered,delhi
SW7137823,USR995176,The Beer Cafe,biryani,2023-01-24 21:26:36,41,DE15014,,889,20.0,,Yes,Delivered,Jaipur
SW4976759,USR495380,Sagar Ratna,Chinese,2023-01-25 00:43:12,33,DE18703,4.6,87,50.0,,No,Delivered,Bengaluru
SW7414742,USR345660,The Beer Cafe,Rolls,2023-01-25 03:59:49,31,DE94376,10.7,1693,0.0,3.1,No,delivered,Hyderabad
SW9229244,USR874913,Biryani Blues,Mughlai,2023-01-25 07:16:25,29,DE55181,10.3,565,20.0,4.5,No,Delivered,delhi
SW1206538,USR156431,Domino's Pizza,Desserts,2023-01-25 10:33:02,26,DE43292,,430,0.0,3.3,No,Delivered,Kolkata
SW8097932,USR185597,Sagar Ratna,south indian,2023-01-25 13:49:38,55,DE56296,5.3,532,0.0,2.4,Yes,Delivered,Mumbai
SW1482871,USR406748,Biryani Blues,pizza,2023-01-25 17:06:15,25,DE57573,2.7,366,30.0,3.4,No,Delivered,Pune
SW6001650,USR882555,Pind Balluchi,biryani,2023-01-25 20:22:51,63,DE64951,6.3,383,,2.4,Yes,Delivered,Delhi
SW4154958,USR741755,Haldiram's,Mughlai,2023-01-25 23:39:28,42,DE79013,4.4,1723,0.0,4.8,No,Delivered,Bangalore
SW3655815,USR744832,Burger King,south indian,2023-01-26 02:56:05,37,DE71062,5.2,184,0.0,5.0,No,cancelled,Bangalore
SW8145519,USR819076,Vaango,Continental,2023-01-26 06:12:41,26,DE18556,2.8,427,0.0,3.1,No,Delivered,Jaipur
SW5188453,USR221286,Burger King,Continental,2023-01-26 09:29:18,20,DE63246,7.6,2150,0.0,3.3,No,Delivered,Kolkata
SW9423600,USR904847,Mainland China,pizza,2023-01-26 12:45:54,61,DE34240,5.5,220,100.0,2.3,Yes,Delivered,Bengaluru
SW6071302,USR202234,Burger King,Pizza,2023-01-26 16:02:31,26,DE65988,10.9,1212,0.0,3.1,No,Delivered,Kolkata
SW7164021,USR966238,Sagar Ratna,BIRYANI,2023-01-26 19:19:07,51,DE78087,5.4,382,0.0,3.8,Yes,Delivered,Hyderabad
SW6921426,USR225627,Paradise Biryani,Fast Food,2023-01-26 22:35:44,56,DE56094,9.6,1735,20.0,2.7,Yes,Delivered,Mumbai
SW2515306,USR871784,Saravana Bhavan,north indian,2023-01-27 01:52:20,32,DE35493,7.3,109,,4.0,No,DELIVERED,Kolkata
SW3980456,USR798194,Social,Mughlai,2023-01-27 05:08:57,41,DE64356,10.8,1534,30.0,3.3,No,Cancelled,delhi
SW5989816,USR297237,Subway,North Indian,2023-01-27 08:25:33,25,DE73582,10.4,584,0.0,3.9,No,DELIVERED,Chennai
SW7533932,USR141709,Smoke House Deli,NORTH INDIAN,2023-01-27 11:42:10,34,DE47656,10.4,467,0.0,4.5,No,Delivered,Chennai
SW4741985,USR771139,McDonald's,Mughlai,2023-01-27 14:58:47,54,DE94058,11.7,176,30.0,3.5,Yes,Delivered,Bangalore
SW2355860,USR897090,Paradise Biryani,Rolls,2023-01-27 18:15:23,40,DE98969,1.7,499,20.0,4.7,No,Delivered,Pune
