order_id,customer_id,restaurant_name,cuisine_type,order_date,Time,delivery_time_mins,delivery_partner_id,distance_km,order_value_inr,discount_applied_inr,rating,total value ,peak_hour,order_status,city
SW3419408,USR682059,Udipi Palace,Desserts,2023-01-15,8:03,30,DE55050,11.7,1790,50,3.2,1740,No,Delivered,Bengaluru
SW8983582,USR872994,KFC,Continental,2023-01-15,11:20,27,DE10608,4.1,103,0,3.9,103,No,Delivered,Bengaluru
SW5084077,USR748706,Faasos,South Indian,2023-01-15,14:37,44,DE81340,7.1,108,0,4.8,108,Yes,Delivered,Bengaluru
SW7357624,USR985101,Box8,CHINESE,2023-01-15,17:53,42,DE61788,4.6,152,50,4.8,102,No,Delivered,Kolkata
SW9085384,USR277423,McDonald's,north indian,2023-01-15,21:10,56,DE64476,6.2,1163,30,3.7,1133,Yes,Delivered,Pune
SW4112418,USR814292,Sagar Ratna,Burgers,2023-01-16,0:27,31,DE90357,3,564,0,4.3,564,No,Delivered,Bengaluru
SW9678992,USR842454,Domino's Pizza,Mughlai,2023-01-16,3:43,29,DE18775,5.4,282,0,3.5,282,No,Delivered,Jaipur
SW5122874,USR818240,Punjab Grill,BIRYANI,2023-01-16,7:00,20,DE80236,7.9,2453,0,4.8,2453,No,Delivered,Mumbai
SW9970767,USR885211,Barbeque Nation,Chinese,2023-01-16,10:16,32,DE65380,4.5,416,50,4.9,366,No,Delivered,Bengaluru
SW2542887,USR520304,Subway,BIRYANI,2023-01-16,13:33,49,DE52238,3.8,1677,100,3.2,1577,Yes,Delivered,Chennai
SW6650773,USR323723,Domino's Pizza,south indian,2023-01-16,16:50,35,DE21623,4.3,236,20,3.8,216,No,Cancelled,Hyderabad
SW8232668,USR678614,Moti Mahal,North Indian,2023-01-16,20:06,64,DE14437,4.1,526,0,1.2,526,Yes,Delivered,delhi
SW9873930,USR662833,Moti Mahal,North Indian,2023-01-16,23:23,25,DE43188,2.3,520,150,4.9,370,No,Delivered,Hyderabad
SW8338889,USR276899,McDonald's,CHINESE,2023-01-17,2:39,43,DE84302,10.9,1613,,3.3,1613,No,Delivered,Hyderabad
SW7406852,USR969781,Sagar Ratna,pizza,2023-01-17,5:56,22,DE94786,11.5,160,30,4.1,130,No,Delivered,Pune
SW3609022,USR986505,Pind Balluchi,Pizza,2023-01-17,9:13,-5,DE23309,3.5,460,100,4.6,360,No,Delivered,delhi
SW1230891,USR535848,Behrouz Biryani,Thai,2023-01-17,12:29,54,DE39935,7.6,147,30,2.1,117,Yes,Delivered,Kolkata
SW4193615,USR976038,The Beer Cafe,Chinese,2023-01-17,15:46,29,DE90235,4.1,554,100,,454,No,Delivered,Delhi
SW8986828,USR147671,McDonald's,biryani,2023-01-17,19:02,68,DE13163,7.2,211,0,1.3,211,Yes,Cancelled,Delhi
SW5933766,USR356187,Burger King,pizza,2023-01-17,22:19,67,DE88902,3.9,234,0,2.8,234,Yes,Cancelled,Bengaluru
SW7870424,USR700861,Subway,Chinese,2023-01-18,1:36,32,DE81001,1.2,498,30,3.4,468,No,Delivered,Jaipur
SW3167137,USR157874,Social,Rolls,2023-01-18,4:52,39,DE94542,2.2,279,20,3.9,259,No,Delivered,Bengaluru
SW3490866,USR130139,Cafe Coffee Day,North Indian,2023-01-18,8:09,38,DE93475,,517,0,4.4,517,No,Delivered,Pune
SW4375767,USR859865,Behrouz Biryani,Fast Food,2023-01-18,11:25,37,DE39471,3.4,116,50,4.9,66,No,Delivered,Pune
SW9723442,USR610888,Haldiram's,CHINESE,2023-01-18,14:42,51,DE32384,6.1,286,0,2.8,286,Yes,Delivered,Delhi
SW7218786,USR852984,Cafe Coffee Day,Fast Food,2023-01-18,17:59,35,DE32146,,1278,75,3.1,1203,No,Delivered,delhi
SW3922275,USR738070,Haldiram's,biryani,2023-01-18,21:15,48,DE60212,1,395,30,,365,Yes,Delivered,Pune
SW4788267,USR106267,KFC,north indian,2023-01-19,0:32,35,DE12000,9.9,300,0,4.7,300,No,Delivered,Delhi
SW6336821,USR200251,Mainland China,biryani,2023-01-19,3:49,25,DE42843,6.1,453,20,4.5,433,No,Delivered,Hyderabad
SW3910514,USR320087,Smoke House Deli,north indian,2023-01-19,7:05,33,DE77631,2.3,171,,4,171,No,Delivered,Jaipur
SW4390205,USR289209,Wow Momo,Burgers,2023-01-19,10:22,34,DE49247,3.2,262,20,3.5,242,No,Delivered,Bengaluru
SW2882912,USR665191,Barbeque Nation,Mughlai,2023-01-19,13:38,42,DE88837,11.9,200,50,3.8,150,Yes,Delivered,Jaipur
SW4240086,USR696709,Wow Momo,CHINESE,2023-01-19,16:55,27,DE79263,4.5,1464,150,3.3,1314,No,Delivered,Kolkata
SW2544612,USR306626,Barbeque Nation,Rolls,2023-01-19,20:12,54,DE94908,1.2,535,50,3.3,485,Yes,Delivered,delhi
SW1838226,USR602960,Biryani Blues,north indian,2023-01-19,23:28,39,DE28826,7.2,106,0,3.1,106,No,Delivered,Mumbai
SW9239841,USR617711,Vaango,Thai,2023-01-20,2:45,44,DE36695,2.7,336,0,3.3,336,No,Delivered,Bengaluru
SW4511212,USR316240,Faasos,BIRYANI,2023-01-20,6:01,24,DE80259,,2452,0,4.2,2452,No,Delivered,Jaipur
SW7636363,USR623581,McDonald's,pizza,2023-01-20,9:18,23,DE47649,4.6,133,20,,113,No,cancelled,Hyderabad
SW8625261,USR672362,McDonald's,pizza,2023-01-20,12:35,50,DE24009,7.6,132,0,,132,Yes,Delivered,Kolkata
SW6494947,USR471954,Pind Balluchi,Thai,2023-01-20,15:51,34,DE57166,10.3,567,30,3.4,537,No,Delivered,Jaipur
SW6695480,USR540572,Udipi Palace,Biryani,2023-01-20,19:08,34,DE17767,11.8,95,100,3.6,-5,Yes,Delivered,Chennai
SW2157911,USR257102,The Beer Cafe,BIRYANI,2023-01-20,22:24,63,DE83330,11.5,945,,2.4,945,Yes,Cancelled,Mumbai
SW4552765,USR427185,McDonald's,south indian,2023-01-21,1:41,41,DE41262,,539,0,3.6,539,No,Delivered,Bengaluru
SW9543090,USR949913,Pind Balluchi,Pizza,2023-01-21,4:58,30,DE92144,4.4,511,100,3.1,411,No,Delivered,Kolkata
SW9513685,USR562486,Wow Momo,Chinese,2023-01-21,8:14,20,DE97713,7.9,185,0,3,185,No,Delivered,Hyderabad
SW2638756,USR987810,Cafe Coffee Day,Pizza,2023-01-21,11:31,27,DE58991,1.9,1338,0,3,1338,No,Delivered,Hyderabad
SW6660536,USR823437,Social,Chinese,2023-01-21,14:47,36,DE36285,4.9,420,0,3.4,420,Yes,Delivered,Jaipur
SW3714928,USR907732,Saravana Bhavan,North Indian,2023-01-21,18:04,40,DE42824,11.4,525,0,3.4,525,No,Delivered,Kolkata
SW4020906,USR738492,Saravana Bhavan,BIRYANI,2023-01-21,21:21,41,DE55098,2.7,1549,100,3.8,1449,Yes,Delivered,Jaipur
SW2390243,USR329856,Pizza Hut,North Indian,2023-01-22,0:37,40,DE61250,6.2,277,20,4.1,257,No,Delivered,Mumbai
SW8496530,USR892534,Sagar Ratna,Pizza,2023-01-22,3:54,22,DE71029,1.1,1014,0,,1014,No,Delivered,Jaipur
SW1436952,USR518371,Vaango,Fast Food,2023-01-22,7:11,20,DE36342,7.9,355,0,3.4,355,No,Cancelled,delhi
SW6982806,USR739016,Paradise Biryani,North Indian,2023-01-22,10:27,44,DE51840,7.3,232,75,4.5,157,No,Delivered,Pune
SW6492169,USR434266,Sagar Ratna,NORTH INDIAN,2023-01-22,13:44,59,DE65839,10.1,564,0,3.5,564,Yes,Delivered,Bengaluru
SW7392922,USR582676,Punjab Grill,Chinese,2023-01-22,17:00,25,DE97288,,398,0,4.5,398,No,Delivered,Bengaluru
SW4736518,USR662881,Burger King,CHINESE,2023-01-22,20:17,48,DE27316,,495,0,,495,Yes,Cancelled,Bengaluru
SW2880438,USR565151,Hyderabad House,NORTH INDIAN,2023-01-22,23:34,35,DE99620,10.4,358,0,4.3,358,No,Delivered,Kolkata
SW7359693,USR751726,Behrouz Biryani,Mughlai,2023-01-23,2:50,43,DE62774,11.8,92,0,4.8,92,No,Delivered,Bengaluru
SW8595945,USR460364,The Beer Cafe,CHINESE,2023-01-23,6:07,36,DE50415,10.7,1358,50,4.4,1308,No,Delivered,Kolkata
SW9731371,USR123933,Cafe Coffee Day,Rolls,2023-01-23,9:23,27,DE82270,10.4,258,50,4.3,208,No,Delivered,Pune
SW4765896,USR295893,Faasos,Fast Food,2023-01-23,12:40,47,DE74134,7.1,599,0,2.3,599,Yes,Delivered,Kolkata
SW5712720,USR482825,Burger King,Biryani,2023-01-23,15:57,26,DE64551,8,327,50,3.8,277,No,Delivered,Delhi
SW4490974,USR922174,KFC,Mughlai,2023-01-23,19:13,67,DE39867,9.6,727,0,,727,Yes,Delivered,Delhi
SW8814414,USR496300,Social,BIRYANI,2023-01-23,22:30,44,DE11405,2.5,355,,3.9,355,Yes,Delivered,Chennai
SW7469024,USR749637,Udipi Palace,chinese,2023-01-24,1:46,32,DE98027,11.7,502,30,4.6,472,No,Delivered,Pune
SW3821453,USR788374,KFC,Biryani,2023-01-24,5:03,31,DE69169,3.9,2222,50,4.8,2172,No,Delivered,delhi
SW4785848,USR690698,Mainland China,Desserts,2023-01-24,8:20,34,DE77166,6.4,293,150,3.9,143,No,Delivered,Kolkata
SW8627557,USR494531,Smoke House Deli,North Indian,2023-01-24,11:36,38,DE61039,,1262,0,4.3,1262,No,Cancelled,delhi
SW9075973,USR122818,Faasos,Biryani,2023-01-24,14:53,38,DE44103,10.1,229,0,4.5,229,Yes,Delivered,Chennai
SW8706777,USR125297,Faasos,Rolls,2023-01-24,18:09,29,DE24713,5.9,272,30,4,242,No,Delivered,delhi
SW7137823,USR995176,The Beer Cafe,biryani,2023-01-24,21:26,41,DE15014,,889,20,,869,Yes,Delivered,Jaipur
SW4976759,USR495380,Sagar Ratna,Chinese,2023-01-25,0:43,33,DE18703,4.6,87,50,,37,No,Delivered,Bengaluru
SW7414742,USR345660,The Beer Cafe,Rolls,2023-01-25,3:59,31,DE94376,10.7,1693,0,3.1,1693,No,Delivered,Hyderabad
SW9229244,USR874913,Biryani Blues,Mughlai,2023-01-25,7:16,29,DE55181,10.3,565,20,4.5,545,No,Delivered,delhi
SW1206538,USR156431,Domino's Pizza,Desserts,2023-01-25,10:33,26,DE43292,,430,0,3.3,430,No,Delivered,Kolkata
SW8097932,USR185597,Sagar Ratna,south indian,2023-01-25,13:49,55,DE56296,5.3,532,0,2.4,532,Yes,Delivered,Mumbai
SW1482871,USR406748,Biryani Blues,pizza,2023-01-25,17:06,25,DE57573,2.7,366,30,3.4,336,No,Delivered,Pune
SW6001650,USR882555,Pind Balluchi,biryani,2023-01-25,20:22,63,DE64951,6.3,383,,2.4,383,Yes,Delivered,Delhi
SW4154958,USR741755,Haldiram's,Mughlai,2023-01-25,23:39,42,DE79013,4.4,1723,0,4.8,1723,No,Delivered,Bengaluru
SW3655815,USR744832,Burger King,south indian,2023-01-26,2:56,37,DE71062,5.2,184,0,5,184,No,cancelled,Bengaluru
SW8145519,USR819076,Vaango,Continental,2023-01-26,6:12,26,DE18556,2.8,427,0,3.1,427,No,Delivered,Jaipur
SW5188453,USR221286,Burger King,Continental,2023-01-26,9:29,20,DE63246,7.6,2150,0,3.3,2150,No,Delivered,Kolkata
SW9423600,USR904847,Mainland China,pizza,2023-01-26,12:45,61,DE34240,5.5,220,100,2.3,120,Yes,Delivered,Bengaluru
SW6071302,USR202234,Burger King,Pizza,2023-01-26,16:02,26,DE65988,10.9,1212,0,3.1,1212,No,Delivered,Kolkata
SW7164021,USR966238,Sagar Ratna,BIRYANI,2023-01-26,19:19,51,DE78087,5.4,382,0,3.8,382,Yes,Delivered,Hyderabad
SW6921426,USR225627,Paradise Biryani,Fast Food,2023-01-26,22:35,56,DE56094,9.6,1735,20,2.7,1715,Yes,Delivered,Mumbai
SW2515306,USR871784,Saravana Bhavan,north indian,2023-01-27,1:52,32,DE35493,7.3,109,,4,109,No,Delivered,Kolkata
SW3980456,USR798194,Social,Mughlai,2023-01-27,5:08,41,DE64356,10.8,1534,30,3.3,1504,No,Cancelled,delhi
SW5989816,USR297237,Subway,North Indian,2023-01-27,8:25,25,DE73582,10.4,584,0,3.9,584,No,Delivered,Chennai
SW7533932,USR141709,Smoke House Deli,NORTH INDIAN,2023-01-27,11:42,34,DE47656,10.4,467,0,4.5,467,No,Delivered,Chennai
SW4741985,USR771139,McDonald's,Mughlai,2023-01-27,14:58,54,DE94058,11.7,176,30,3.5,146,Yes,Delivered,Bengaluru
SW2355860,USR897090,Paradise Biryani,Rolls,2023-01-27,18:15,40,DE98969,1.7,499,20,4.7,479,No,Delivered,Pune
SW6518928,USR464205,Social,North Indian,2023-01-27,21:32,50,DE30445,3.7,353,50,3.5,303,Yes,Delivered,Mumbai
SW6749598,USR215972,McDonald's,Chinese,2023-01-28,0:48,37,DE82747,0.5,956,0,3.8,956,No,Delivered,Hyderabad
SW6207133,USR999259,Burger King,Fast Food,2023-01-28,4:05,21,DE71787,9.8,315,0,3.1,315,No,Delivered,Pune
SW9093348,USR497654,Barbeque Nation,Fast Food,2023-01-28,7:21,36,DE61107,8.5,242,0,3.1,242,No,cancelled,Hyderabad
SW7306055,USR376659,Barbeque Nation,BIRYANI,2023-01-28,10:38,32,DE39758,11.2,118,0,4.1,118,No,Delivered,Mumbai
